期号,总销售额,红球,蓝球,一等奖省份
2022112,348893862,"03,05,08,17,25,31",01,"安徽1注,湖北1注,广西2注,陕西1注,共5注。"
2022111,385923798,"02,10,11,13,28,31",01,"上海1注,安徽1注,湖北1注,共3注。"
2022110,352346658,"09,13,15,18,20,28",15,"上海1注,浙江1注,江西2注,山东2注,贵州1注,共7注。"
2022109,349805376,"04,11,13,19,22,33",11,"吉林2注,浙江2注,四川1注,共5注。"
2022108,379260702,"01,07,13,17,18,31",15,"河北2注,上海1注,江苏2注,浙江1注,山东4注,广东1注,四川1注,云南1注,共13注。"
2022107,342747048,"03,09,11,15,19,28",16,"山西1注,内蒙古1注,浙江2注,重庆2注,河南1注,广东1注,宁夏1注,共9注。"
2022106,336123528,"17,20,22,23,24,31",01,"上海1注,山东1注,湖北1注,共3注。"
2022105,357410590,"06,12,13,15,21,23",15,"河北2注,山东1注,广东1注,共4注。"
2022104,337087306,"01,08,19,25,26,31",01,"河北1注,山西1注,黑龙江1注,上海2注,江西1注,重庆5注,河南1注,广东2注,海南1注,云南2注,陕西1注,共18注。"
2022103,331343836,"06,09,12,14,20,28",10,"北京1注,河北1注,辽宁1注,上海1注,江苏2注,湖北1注,广东1注,四川1注,贵州1注,深圳2注,共12注。"
2022102,360805992,"09,10,12,18,29,32",14,"辽宁2注,黑龙江1注,上海1注,四川1注,贵州1注,共6注。"
2022101,342584116,"04,16,18,19,27,28",04,"辽宁1注,江苏20注,福建1注,广东3注,四川6注,云南1注,新疆1注,深圳1注,共34注。"
2022100,338953236,"02,06,07,15,20,21",15,"江苏1注,福建5注,山东1注,重庆2注,湖北2注,共11注。"
2022099,368635154,"01,11,23,24,26,32",15,"内蒙古2注,上海1注,江苏1注,山东2注,四川1注,陕西1注,共8注。"
2022098,339839938,"02,03,04,06,21,33",05,"河北1注,辽宁1注,黑龙江1注,江苏3注,浙江1注,山东3注,湖南1注,广东1注,云南1注,陕西1注,共14注。"
2022097,339168020,"04,05,10,13,30,31",14,"黑龙江1注,四川1注,陕西1注,共3注。"
2022096,374401638,"03,16,17,19,25,33",07,"北京46注,浙江1注,山东1注,甘肃1注,深圳1注,共50注。"
2022095,339954958,"04,13,14,18,20,28",08,"辽宁1注,黑龙江1注,上海2注,浙江1注,广东1注,云南1注,共7注。"
2022094,333751422,"06,11,13,16,19,31",02,"河北1注,广东1注,深圳1注,共3注。"
2022093,363673578,"21,22,24,28,29,32",14,"山西1注,福建1注,共2注。"
2022092,337222664,"07,10,16,20,21,27",11,"北京10注,江苏1注,福建1注,湖北5注,广东1注,四川2注,共20注。"
2022091,335981918,"08,18,20,22,24,28",10,"北京2注,辽宁1注,江苏1注,江西1注,湖北1注,广东1注,四川1注,共8注。"
2022090,365943774,"01,04,25,27,29,30",07,"浙江1注,山东2注,广东1注,海南1注,甘肃1注,深圳1注,共7注。"
2022089,342434670,"02,07,15,29,31,33",15,"山东1注,广西1注,云南1注,共3注。"
2022088,340253450,"03,09,15,17,20,22",06,"辽宁1注,江苏3注,浙江2注,安徽2注,山东1注,河南3注,广东6注,四川1注,云南1注,共20注。"
2022087,370042706,"05,06,09,13,23,25",08,"河北1注,辽宁2注,上海1注,江苏1注,广东1注,共6注。"
2022086,345421240,"01,04,08,21,23,24",11,"辽宁1注,江苏1注,浙江2注,山东1注,湖南1注,广东1注,云南1注,共8注。"
2022085,341538762,"07,09,14,31,32,33",13,"北京1注,吉林1注,江苏2注,山东1注,河南2注,广东1注,西藏1注,甘肃1注,宁夏1注,深圳1注,共12注。"
2022084,368808592,"03,18,23,24,25,32",09,"内蒙古1注,山东1注,广东1注,四川2注,共5注。"
2022083,347550570,"08,12,13,14,19,20",05,"河北1注,浙江3注,安徽1注,江西1注,山东1注,河南2注,广西1注,贵州1注,云南1注,新疆1注,共13注。"
2022082,347371994,"04,10,11,23,30,32",14,"上海2注,福建1注,共3注。"
2022081,373064250,"04,08,11,21,27,30",01,"安徽2注,河南1注,广东1注,陕西1注,共5注。"
2022080,342797508,"05,12,15,17,18,27",04,"北京1注,黑龙江1注,江苏1注,浙江1注,江西1注,湖北1注,广东2注,新疆1注,共9注。"
2022079,341273762,"01,09,15,17,22,23",16,"黑龙江1注,江苏1注,共2注。"
2022078,366650644,"01,04,05,15,17,31",09,"山西1注,辽宁1注,安徽1注,云南3注,共6注。"
2022077,345118818,"03,17,18,19,20,27",16,"北京1注,山西1注,浙江5注,广东3注,广西1注,贵州1注,甘肃1注,深圳1注,共14注。"
2022076,342718328,"08,09,10,13,24,29",02,"河北1注,江苏11注,广东1注,深圳1注,共14注。"
2022075,379959636,"01,02,04,25,26,30",10,"上海1注,山东2注,河南1注,广东1注,广西1注,共6注。"
2022074,354915638,"05,07,15,19,29,33",15,"上海1注,江苏1注,安徽1注,山东2注,广东1注,共6注。"
2022073,352213628,"06,10,14,15,26,29",12,"河北1注,辽宁1注,河南1注,广西1注,陕西2注,共6注。"
2022072,385506202,"05,14,15,16,18,32",12,"北京1注,山西1注,上海1注,山东1注,重庆1注,广东1注,贵州1注,共7注。"
2022071,354289328,"04,07,15,18,29,33",01,"北京2注,辽宁1注,上海1注,福建1注,江西1注,广东1注,甘肃1注,共8注。"
2022070,356598990,"04,06,09,27,28,33",02,"上海1注,福建1注,河南3注,广东1注,广西1注,陕西1注,甘肃1注,共9注。"
2022069,380359658,"06,07,13,19,26,29",08,"浙江3注,福建1注,重庆1注,湖北2注,湖南3注,广东1注,广西4注,海南1注,四川1注,贵州1注,云南1注,陕西1注,共20注。"
2022068,354071622,"07,12,15,24,26,29",06,"江苏1注,浙江1注,福建1注,四川1注,贵州1注,云南2注,共7注。"
2022067,347891686,"01,05,13,21,26,29",15,"辽宁1注,浙江3注,山东1注,重庆1注,湖北1注,广东1注,贵州1注,云南1注,共10注。"
2022066,370987262,"06,11,14,20,27,30",09,"北京1注,山西1注,内蒙古1注,辽宁3注,黑龙江1注,江苏3注,浙江4注,安徽1注,福建4注,山东3注,河南2注,湖北2注,广东4注,广西2注,云南1注,共33注。"
2022065,348395414,"09,14,18,23,28,31",02,"天津1注,河北1注,安徽1注,山东1注,共4注。"
2022064,340689068,"04,06,12,13,17,31",16,"福建1注,山东1注,重庆1注,河南1注,广东5注,广西1注,云南2注,共12注。"
2022063,360023818,"06,08,09,17,22,31",11,"河北3注,山西1注,吉林1注,江苏2注,浙江1注,安徽3注,江西1注,山东1注,河南2注,四川2注,贵州1注,陕西2注,共20注。"
2022062,329515310,"16,18,20,21,23,33",05,"内蒙古1注,黑龙江1注,浙江1注,广西1注,深圳1注,共5注。"
2022061,331252342,"01,03,16,18,29,33",06,"浙江1注,山东1注,陕西1注,共3注。"
2022060,361140396,"16,18,19,24,28,32",01,"浙江1注,福建1注,广东1注,共3注。"
2022059,340378840,"06,09,18,19,29,33",06,"河北1注,内蒙古1注,黑龙江1注,湖北3注,湖南5注,广东1注,云南1注,宁夏5注,深圳2注,共20注。"
2022058,336926030,"06,13,14,23,31,33",01,"北京1注,河北1注,内蒙古1注,江苏2注,浙江1注,福建1注,四川2注,陕西1注,共10注。"
2022057,378857894,"12,15,20,26,30,33",16,"上海1注,安徽1注,贵州1注,共3注。"
2022056,352329270,"01,06,11,14,17,26",15,"浙江1注,安徽1注,福建1注,山东1注,贵州1注,云南1注,共6注。"
2022055,350153658,"02,04,09,26,28,33",03,"内蒙古1注,浙江2注,四川1注,共4注。"
2022054,391678014,"08,12,21,27,28,33",11,"辽宁1注,浙江2注,安徽2注,福建1注,山东1注,重庆1注,河南5注,湖南2注,海南1注,四川1注,云南3注,新疆1注,共21注。"
2022053,356510652,"10,14,18,23,27,33",15,"北京1注,浙江1注,江西1注,陕西1注,共4注。"
2022052,359187786,"07,24,27,29,31,32",15,"河北1注,山西1注,云南1注,陕西1注,共4注。"
2022051,389679034,"02,05,11,17,21,33",01,"河北1注,辽宁1注,贵州1注,云南1注,深圳1注,共5注。"
2022050,363371278,"03,05,08,14,27,33",08,"北京2注,辽宁1注,黑龙江1注,江苏1注,山东1注,重庆1注,河南7注,广东1注,四川1注,共16注。"
2022049,337463590,"02,04,07,18,25,26",10,共0注。
2022048,357972850,"05,07,17,20,26,31",14,"辽宁1注,江西1注,广东1注,贵州1注,共4注。"
2022047,360230056,"03,07,08,14,27,30",09,"上海1注,浙江2注,福建4注,江西1注,山东2注,重庆1注,湖北1注,湖南1注,四川2注,贵州5注,深圳1注,共21注。"
2022046,358743356,"02,11,24,25,27,30",14,"黑龙江1注,江苏1注,浙江3注,江西1注,河南1注,贵州1注,青海1注,共9注。"
2022045,389120778,"03,12,17,18,19,28",04,"辽宁1注,浙江1注,安徽1注,江西1注,山东2注,湖南1注,共7注。"
2022044,362459788,"01,07,08,21,23,29",06,"河南1注,湖南6注,陕西1注,新疆3注,共11注。"
2022043,350215018,"02,17,20,23,25,27",08,"浙江1注,江西1注,山东2注,广东2注,贵州1注,云南2注,共9注。"
2022042,376726628,"05,10,11,21,22,30",13,"北京1注,山西1注,江苏2注,浙江1注,四川3注,陕西2注,共10注。"
2022041,348280000,"05,07,21,22,24,29",14,"辽宁1注,黑龙江1注,重庆2注,共4注。"
2022040,343211044,"03,12,14,16,31,33",12,"北京1注,内蒙古1注,江苏1注,安徽1注,江西1注,山东1注,重庆2注,湖北4注,广东1注,贵州1注,陕西1注,共15注。"
2022039,375104494,"02,06,07,10,15,20",05,"北京2注,浙江1注,福建1注,山东1注,共5注。"
2022038,348860576,"09,12,13,16,24,32",04,"安徽1注,江西1注,山东1注,重庆1注,广东1注,共5注。"
2022037,332623306,"01,10,13,20,22,32",14,"浙江1注,福建1注,重庆1注,共3注。"
2022036,362126634,"02,03,14,16,26,31",02,"北京1注,山东1注,重庆1注,广东4注,共7注。"
2022035,353577746,"08,12,13,19,23,25",15,"河北1注,浙江1注,福建1注,山东1注,河南2注,四川1注,贵州1注,共8注。"
2022034,361289854,"14,17,26,31,32,33",10,"辽宁6注,吉林1注,江西1注,山东1注,共9注。"
2022033,392018786,"05,12,19,22,25,26",05,"河北2注,浙江1注,山东1注,河南2注,湖北1注,海南1注,四川1注,贵州1注,云南1注,共11注。"
2022032,365937174,"04,10,11,14,23,32",07,"上海1注,安徽1注,四川5注,共7注。"
2022031,353060708,"01,10,11,22,26,32",07,"山西2注,江苏1注,浙江4注,安徽2注,河南3注,湖北1注,广东1注,贵州1注,云南12注,陕西1注,共28注。"
2022030,376910184,"12,23,24,26,27,30",05,"浙江1注,山东5注,广东12注,共18注。"
2022029,354275468,"03,08,10,13,26,32",08,"天津1注,山西1注,江苏2注,浙江1注,安徽2注,湖北2注,广东1注,共10注。"
2022028,359741624,"05,11,20,22,23,29",09,"山西1注,广东7注,陕西1注,共9注。"
2022027,407429120,"14,15,18,19,26,32",09,"上海2注,云南1注,共3注。"
2022026,390646552,"03,04,10,15,22,24",02,"内蒙古1注,江苏1注,浙江2注,福建1注,山东1注,广东2注,海南1注,深圳1注,共10注。"
2022025,380028752,"06,19,24,25,28,32",04,"湖南1注,共1注。"
2022024,412478136,"07,09,10,14,19,24",15,"山东1注,湖北1注,共2注。"
2022023,386299738,"07,12,17,19,24,25",02,"山西1注,吉林1注,浙江1注,湖北1注,广东5注,共9注。"
